"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Colin Moran","PIT","52","200","10","28","23","0","9.5%","26.0%",".225",".291",".247",".325",".472",".340",".348","113","-2.9","0.4","-4.6","0.5","16909"
"Pete Alonso","NYM","57","239","16","31","35","1","10.0%","25.5%",".260",".242",".231",".326",".490",".342",".328","120","-2.0","4.0","-6.3","0.4","19251"
"Nick Castellanos","CIN","60","242","14","37","34","0","7.9%","28.5%",".261",".257",".225",".298",".486",".329",".371","100","-1.2","-1.3","-5.7","0.4","11737"
"Max Muncy","LAD","58","248","12","36","27","1","15.7%","24.2%",".197",".203",".192",".331",".389",".316",".363","99","-0.4","-0.7","-4.3","0.4","13301"
"Ketel Marte","ARI","45","195","2","19","17","1","3.6%","10.8%",".122",".311",".287",".323",".409",".316",".301","94","-0.2","-1.8","-1.4","0.4","13613"
"Kyle Schwarber","CHC","59","224","11","30","24","1","13.4%","29.5%",".204",".219",".188",".308",".393",".307",".335","89","0.4","-2.8","-3.7","0.4","16478"
"Renato Nunez","BAL","52","216","12","29","31","0","7.9%","29.6%",".236",".317",".256",".324",".492",".347",".314","118","-1.5","3.4","-5.9","0.3","14503"
"Miguel Cabrera","DET","57","231","10","28","35","1","10.4%","22.1%",".167",".283",".250",".329",".417",".323",".375","103","-2.1","-1.1","-6.0","0.3","1744"
"Marwin Gonzalez","MIN","53","199","5","15","22","0","8.5%","20.6%",".109",".241",".211",".286",".320",".269",".314","67","0.9","-7.1","0.3","0.2","5497"
"Keston Hiura","MIL","59","246","13","30","32","3","6.5%","34.6%",".198",".273",".212",".297",".410",".304",".315","87","-0.5","-4.8","-4.4","0.2","20003"
"Vladimir Guerrero Jr.","TOR","60","243","9","34","33","1","8.2%","15.6%",".199",".282",".262",".329",".462",".338",".331","110","-0.9","2.2","-6.9","0.2","19611"
"Ryan McMahon","COL","52","193","9","23","26","0","9.3%","34.2%",".203",".286",".215",".295",".419",".308",".293","77","0.6","-5.0","-0.2","0.2","15112"
"Erik Gonzalez","PIT","50","193","3","14","20","2","4.1%","26.4%",".133",".292",".227",".255",".359",".262",".292","61","0.2","-9.3","2.1","0.1","13369"
"Jose Altuve","HOU","48","210","5","32","18","2","8.1%","18.6%",".125",".250",".219",".286",".344",".278",".286","75","0.4","-6.0","-0.1","0.1","5417"
"Corey Dickerson","MIA","52","210","7","25","17","1","7.1%","16.7%",".144",".283",".258",".311",".402",".308",".306","95","0.0","-1.4","-3.8","0.0","10762"
"Bryan Reynolds","PIT","55","208","7","24","19","1","10.1%","27.4%",".168",".231",".189",".275",".357",".278",".310","72","-1.7","-9.2","0.2","0.0","19326"
"Asdrubal Cabrera","WSN","52","213","8","23","31","0","8.9%","18.8%",".205",".260",".242",".305",".447",".319",".316","96","-2.6","-3.7","-2.2","0.0","4962"
"Rio Ruiz","BAL","54","204","9","25","32","1","8.3%","22.5%",".205",".244",".222",".286",".427",".303",".276","88","-2.2","-5.2","-0.6","0.0","14103"
"Javier Baez","CHC","59","235","8","27","24","3","3.0%","31.9%",".158",".262",".203",".238",".360",".256",".274","55","-0.4","-13.9","2.7","-0.1","12979"
"Yuli Gurriel","HOU","57","230","6","27","22","0","5.2%","11.7%",".152",".235",".232",".274",".384",".281",".315","78","0.3","-6.0","-3.4","-0.1","19198"
"Nick Solak","TEX","58","233","2","27","23","7","7.7%","18.0%",".077",".320",".268",".326",".344",".297",".318","87","2.4","-1.3","-8.4","-0.1","19294"
"Austin Riley","ATL","51","206","8","24","27","0","7.8%","23.8%",".176",".280",".239",".301",".415",".307",".333","88","-0.4","-3.7","-3.4","-0.2","18360"
"Evan White","SEA","54","202","8","19","26","1","8.9%","41.6%",".170",".264",".176",".252",".346",".261",".290","66","1.0","-7.3","-1.6","-0.2","20078"
"Andrew McCutchen","PHI","57","241","10","32","34","4","9.1%","19.9%",".180",".281",".253",".324",".433",".327",".355","102","-1.6","-1.0","-7.6","-0.2","9847"
"Nicky Lopez","KCR","56","192","1","15","13","0","9.4%","21.4%",".065",".260",".201",".286",".266",".254",".287","55","-2.0","-12.8","2.0","-0.2","19339"
"Jonathan Villar","- - -","52","207","2","13","15","16","9.2%","26.1%",".059",".313",".232",".301",".292",".266",".253","65","0.7","-8.5","-0.5","-0.3","10071"
"Josh Bell","PIT","57","223","8","22","22","0","9.9%","26.5%",".138",".273",".226",".305",".364",".286",".297","77","0.2","-6.2","-7.6","-0.4","13145"
"Victor Robles","WSN","52","189","3","20","15","4","4.8%","28.0%",".095",".298",".220",".293",".315",".273",".261","66","1.3","-7.0","-2.9","-0.5","18363"
"Eduardo Escobar","ARI","54","222","4","22","20","1","6.8%","18.5%",".123",".244",".212",".270",".335",".257",".305","55","-0.9","-13.7","0.3","-0.5","6153"
"Josh Reddick","HOU","56","210","4","22","23","1","9.5%","20.0%",".133",".294",".245",".316",".378",".304",".300","93","-2.0","-3.7","-10.5","-0.7","3892"
"J.D. Martinez","BOS","54","237","7","22","27","1","9.3%","24.9%",".175",".259",".213",".291",".389",".290",".316","77","-1.0","-7.9","-8.6","-1.0","6184"
